date,w1_bid,w1_oi,w1_vol,w2_bid,w2_oi,w2_vol,spread_c1_c2,spread_pct,d_c1_oi,d_c2_oi,roll_pressure,vol_ratio,oi_ratio,ret_1d,ret_5d,ret_21d,production,production_change,production_surprise,production_surprise_z,ending_stocks_total,stocks_total_change,stocks_total_surprise,stocks_total_surprise_z,ending_stocks_world,stocks_world_change,stocks_world_surprise,stocks_world_surprise_z
2020-12-09,575.0,18.0,10.0,584.5,189444.0,55893.0,-9.5,-0.016521739130406,,,,0.0001789132807328,9.501488566542042e-05,,,,1826.0,,,,877,,,,320.45,,,
2020-12-10,553.0,8.0,5.0,597.75,185099.0,74491.0,-44.75,-0.080922242314501,-10.0,-4345.0,4335.0,6.712220268220232e-05,4.3220114641353854e-05,-0.0382608695652173,,,1826.0,0.0,0.0,,877,0.0,0.0,,320.45,0.0,0.0,
2020-12-11,553.0,5.0,8.0,617.0,186525.0,85723.0,-64.0,-0.1157323688967165,-3.0,1426.0,-1429.0,9.3323845409049e-05,2.6806058169146085e-05,0.0,,,1826.0,0.0,0.0,0.0,877,0.0,0.0,0.0,320.45,0.0,0.0,0.0
2020-12-14,,20.0,20.0,597.25,182916.0,74274.0,,,15.0,-3609.0,3624.0,0.000269273231548,0.0001093398062498,0.0,,,1826.0,0.0,0.0,0.0,877,0.0,0.0,0.0,320.45,0.0,0.0,0.0
2020-12-15,601.0,183501.0,51418.0,599.5,51990.0,13010.0,1.5,0.0024958402662188,183481.0,-130926.0,314407.0,3.9521906225976977,3.5295441431043755,0.0867992766726943,,,1826.0,0.0,0.0,0.0,877,0.0,0.0,0.0,320.45,0.0,0.0,0.0
2020-12-16,598.0,182660.0,56478.0,599.5,51629.0,15439.0,-1.5,-0.0025083612040091,-841.0,-361.0,-480.0,3.658138480471296,3.5379341068003733,-0.0049916805324459,0.04,,1826.0,0.0,0.0,0.0,877,0.0,0.0,0.0,320.45,0.0,0.0,0.0
2020-12-17,609.5,183616.0,43431.0,603.0,53751.0,11553.0,6.5,0.0106644790811966,956.0,2122.0,-1166.0,3.7592833030378463,3.4160480735241503,0.0192307692307691,0.1021699819168173,,1826.0,0.0,0.0,0.0,877,0.0,0.0,0.0,320.45,0.0,0.0,0.0
2020-12-18,607.5,183303.0,42169.0,605.5,54862.0,13789.0,2.0,0.0032921810699534,-313.0,1111.0,-1424.0,3.0581623032850054,3.341165105172919,-0.0032813781788351,0.0985533453887883,,1826.0,0.0,0.0,0.0,877,0.0,0.0,0.0,320.45,0.0,0.0,0.0
2020-12-21,611.25,182639.0,48422.0,608.0,55073.0,12914.0,3.25,0.0053169734151242,-664.0,211.0,-875.0,3.749574105621515,3.3163074464800664,0.0061728395061728,0.1053345388788427,,1826.0,0.0,0.0,0.0,877,0.0,0.0,0.0,320.45,0.0,0.0,0.0
2020-12-22,615.75,184760.0,55034.0,614.0,54388.0,15662.0,1.75,0.0028420625253709,2121.0,-685.0,2806.0,3.5138551909077056,3.3970728837242885,0.007361963190184,0.0245424292845257,,1826.0,0.0,0.0,0.0,877,0.0,0.0,0.0,320.45,0.0,0.0,0.0
2020-12-23,631.0,191083.0,69513.0,626.25,55717.0,21291.0,4.75,0.007527733755931,6323.0,1329.0,4994.0,3.264900662251502,3.4295277922357017,0.0247665448639871,0.0551839464882943,,1826.0,0.0,0.0,0.0,877,0.0,0.0,0.0,320.45,0.0,0.0,0.0
2020-12-24,626.0,187646.0,35656.0,624.25,56322.0,9818.0,1.75,0.002795527156545,-3437.0,605.0,-4042.0,3.631696883275246,3.3316643585099373,-0.0079239302694136,0.0270713699753897,,1826.0,0.0,0.0,0.0,877,0.0,0.0,0.0,320.45,0.0,0.0,0.0
